edge_number,actual_edge_time_s,ideal_edge_time_s,tie_s,tie_ns
610,8.84285294404846e-05,8.842897912360258e-05,-4.4968311796857065e-10,-0.44968311796857063
611,8.84571040896607e-05,8.845754932776565e-05,-4.4523810493958515e-10,-0.44523810493958516
612,8.848567890752664e-05,8.84861195319287e-05,-4.4062440206009996e-10,-0.44062440206009995
613,8.851425384400949e-05,8.851468973609177e-05,-4.3589208227232697e-10,-0.43589208227232695
614,8.854282890018863e-05,8.854325994025484e-05,-4.3104006619879334e-10,-0.4310400661987933
615,8.857140403837565e-05,8.857183014441789e-05,-4.2610604223845024e-10,-0.4261060422384502
616,8.859997927593959e-05,8.860040034858096e-05,-4.2107264136407423e-10,-0.42107264136407424
617,8.862855456187298e-05,8.862897055274403e-05,-4.1599087104593977e-10,-0.4159908710459398
618,8.865712992413532e-05,8.86575407569071e-05,-4.108327717700026e-10,-0.41083277177000255
619,8.868570530476516e-05,8.868611096107016e-05,-4.0565630499795625e-10,-0.40565630499795624
620,8.871428075251223e-05,8.871468116523322e-05,-4.004127209885778e-10,-0.4004127209885778
621,8.874285620453846e-05,8.874325136939629e-05,-3.9516485782295994e-10,-0.39516485782295996
622,8.877143170116099e-05,8.877182157355935e-05,-3.898723983591166e-10,-0.3898723983591166
623,8.880000720004987e-05,8.880039177772241e-05,-3.84577672533262e-10,-0.384577672533262
624,8.882858272015008e-05,8.882896198188548e-05,-3.7926173538965745e-10,-0.37926173538965746
625,8.88571582442921e-05,8.885753218604855e-05,-3.739417564487741e-10,-0.3739417564487741
626,8.888573376946292e-05,8.88861023902116e-05,-3.686207486813442e-10,-0.3686207486813442
627,8.891430930232996e-05,8.891467259437467e-05,-3.632920447047929e-10,-0.36329204470479287
628,8.89428848160181e-05,8.894324279853774e-05,-3.579825196277041e-10,-0.3579825196277041
629,8.897146034547322e-05,8.89718130027008e-05,-3.526572275811795e-10,-0.3526572275811795
630,8.900003582112e-05,8.900038320686387e-05,-3.4738574386505913e-10,-0.3473857438650591
631,8.902859944243897e-05,8.902895341102693e-05,-3.53968587957479e-10,-0.353968587957479
632,8.905716366937998e-05,8.905752361519e-05,-3.599458100113776e-10,-0.3599458100113776
633,8.90857300763596e-05,8.908609381935306e-05,-3.6374299345850036e-10,-0.36374299345850036
634,8.911429801795031e-05,8.911466402351612e-05,-3.6600556580369184e-10,-0.3660055658036918
635,8.914286716410634e-05,8.914323422767919e-05,-3.6706357283853847e-10,-0.36706357283853847
636,8.917143726931816e-05,8.917180443184226e-05,-3.6716252409479845e-10,-0.36716252409479844
637,8.920000816491539e-05,8.920037463600531e-05,-3.664710899208849e-10,-0.3664710899208849
638,8.922857972197228e-05,8.922894484016838e-05,-3.6511819609039217e-10,-0.36511819609039214
639,8.925715181612757e-05,8.925751504433145e-05,-3.632282038722159e-10,-0.36322820387221594
640,8.928572438416266e-05,8.928608524849451e-05,-3.6086433184820127e-10,-0.36086433184820127
641,8.931429736015774e-05,8.931465545265758e-05,-3.58092499835696e-10,-0.358092499835696
642,8.934287069911715e-05,8.934322565682064e-05,-3.549577034852433e-10,-0.3549577034852433
643,8.937144432067487e-05,8.93717958609837e-05,-3.515403088356452e-10,-0.3515403088356452
644,8.940001821680471e-05,8.940036606514677e-05,-3.4784834205940184e-10,-0.34784834205940185
645,8.942859234169938e-05,8.942893626930983e-05,-3.4392761044080266e-10,-0.34392761044080267
646,8.945716665709098e-05,8.94575064734729e-05,-3.398163819119651e-10,-0.3398163819119651
647,8.94857411614099e-05,8.948607667763596e-05,-3.355162260588217e-10,-0.3355162260588217
648,8.951431580250541e-05,8.951464688179903e-05,-3.310792936157328e-10,-0.3310792936157328
649,8.954289058999203e-05,8.95432170859621e-05,-3.2649597006756814e-10,-0.32649597006756814
650,8.957146546905974e-05,8.957178729012516e-05,-3.2182106541201403e-10,-0.32182106541201405
651,8.96000404715792e-05,8.960035749428822e-05,-3.1702270902476676e-10,-0.31702270902476676
652,8.96286155324017e-05,8.962892769845129e-05,-3.121660495843789e-10,-0.31216604958437894
653,8.965719068885965e-05,8.965749790261435e-05,-3.0721375468968267e-10,-0.30721375468968265
654,8.968576588707158e-05,8.968606810677741e-05,-3.022197058276238e-10,-0.3022197058276238
655,8.97143411566822e-05,8.971463831094048e-05,-2.9715425828161635e-10,-0.29715425828161635
656,8.974291645346804e-05,8.974320851510354e-05,-2.920616354927586e-10,-0.2920616354927586
657,8.977149180245284e-05,8.97717787192666e-05,-2.8691681376320147e-10,-0.28691681376320144
