period_number,period_s,period_error_s,period_error_ps
1061,7.813063053639852e-09,5.727393228500298e-13,0.5727393228500298
1062,7.813123167527461e-09,6.32853210459086e-13,0.632853210459086
1063,7.813107058031454e-09,6.167437144519546e-13,0.6167437144519545
1064,7.813077800049783e-09,5.874857327808582e-13,0.5874857327808581
1065,7.813175561692315e-09,6.852473753121381e-13,0.6852473753121381
1066,7.813149288939353e-09,6.589746223502362e-13,0.6589746223502362
1067,7.813105051471389e-09,6.147371543862813e-13,0.6147371543862813
1068,7.813191856546236e-09,7.015422292331831e-13,0.7015422292331831
1069,7.813176255866308e-09,6.859415493055991e-13,0.6859415493055991
1070,7.813127504580097e-09,6.371902630945169e-13,0.6371902630945169
1071,7.813201452535061e-09,7.111382180587821e-13,0.7111382180587821
1072,7.813191837247437e-09,7.015229304345129e-13,0.7015229304345129
1073,7.813144659531601e-09,6.543452145989946e-13,0.6543452145989946
1074,7.813199851398845e-09,7.095370818429826e-13,0.7095370818429826
1075,7.813198584996498e-09,7.082706794954109e-13,0.7082706794954109
1076,7.813161646987423e-09,6.713326704203505e-13,0.6713326704203505
1077,7.813186406817568e-09,6.960925005657119e-13,0.6960925005657119
1078,7.81320391135651e-09,7.135970395081805e-13,0.7135970395081804
1079,7.813171142497812e-09,6.808281808096144e-13,0.6808281808096144
1080,7.813166879997628e-09,6.765656806260691e-13,0.676565680626069
1081,7.813208483952068e-09,7.181696350655838e-13,0.7181696350655837
1082,7.813174521820458e-09,6.842075034559801e-13,0.6842075034559801
1083,7.813143337035344e-09,6.53022718341524e-13,0.6530227183415239
1084,7.813211197208662e-09,7.208828916598102e-13,0.7208828916598102
1085,7.813173210667666e-09,6.828963506637391e-13,0.6828963506637391
1086,7.81312289364444e-09,6.32579327437789e-13,0.632579327437789
1087,7.813195942524753e-09,7.056282077505206e-13,0.7056282077505206
1088,7.813154804167384e-09,6.644898503814527e-13,0.6644898503814527
1089,7.813119402499892e-09,6.290881828898586e-13,0.6290881828898586
1090,7.813189779065795e-09,6.994647487929022e-13,0.6994647487929022
1091,7.813157233200379e-09,6.669188833761621e-13,0.666918883376162
1092,7.813117929096245e-09,6.276147792425051e-13,0.6276147792425051
1093,7.813155844608446e-09,6.655302914437512e-13,0.6655302914437512
1094,7.813146445524288e-09,6.561312072852028e-13,0.6561312072852028
1095,7.813122352139665e-09,6.320378226627412e-13,0.6320378226627411
1096,7.813115235206212e-09,6.249208892095847e-13,0.6249208892095847
1097,7.813152653828558e-09,6.623395115551807e-13,0.6623395115551807
1098,7.813114286529311e-09,6.239722123086598e-13,0.6239722123086598
1099,7.813083436166357e-09,5.931218493543068e-13,0.5931218493543068
1100,7.813138006663783e-09,6.476923467807162e-13,0.6476923467807162
1101,7.813103229767793e-09,6.129154507910169e-13,0.6129154507910168
1102,7.813053976265583e-09,5.636619485811122e-13,0.5636619485811122
1103,7.813135032114465e-09,6.447177974629208e-13,0.6447177974629208
1104,7.813096602256753e-09,6.062879397510475e-13,0.6062879397510474
1105,7.813040677536603e-09,5.503632196010951e-13,0.550363219601095
