edge_number,actual_edge_time_s,ideal_edge_time_s,tie_s,tie_ps
50242,0.00017747660742836437,0.00017747660189138117,5.536983211401413e-12,5.536983211401413
50243,0.00017747994123165436,0.000177479935224655,6.00699938148299e-12,6.0069993814829905
50244,0.00017748327506866086,0.0001774832685579288,6.510732070724522e-12,6.510732070724522
50245,0.00017748660884001107,0.00017748660189120262,6.948808457956306e-12,6.948808457956305
50246,0.00017748994262995908,0.00017748993522447647,7.405482625838657e-12,7.405482625838657
50247,0.00017749327640517176,0.0001774932685577503,7.84742148330992e-12,7.847421483309921
50248,0.00017749661013346203,0.0001774966018910241,8.242437941004759e-12,8.24243794100476
50249,0.00017749994391711853,0.00017749993522429792,8.692820619205448e-12,8.692820619205447
50250,0.00017750326983868368,0.00017750326855757174,1.281111948358914e-12,1.281111948358914
50251,0.00017750659977562472,0.00017750660189084556,-2.1152208272061307e-12,-2.1152208272061306
50252,0.00017750993315433764,0.0001775099352241194,-2.0697817515269373e-12,-2.0697817515269374
50253,0.00017751326588736976,0.00017751326855739322,-2.670023450319768e-12,-2.6700234503197677
50254,0.00017751659920408572,0.00017751660189066704,-2.6865813045828035e-12,-2.6865813045828038
50255,0.0001775199326765792,0.00017751993522394086,-2.5473616412244254e-12,-2.5473616412244255
50256,0.0001775232662495055,0.00017752326855721468,-2.3077091593373605e-12,-2.3077091593373606
50257,0.00017752659985696486,0.0001775266018904885,-2.0335236185291883e-12,-2.0335236185291885
50258,0.0001775299336061355,0.00017752993522376234,-1.6176268364551033e-12,-1.6176268364551034
50259,0.00017753326734925635,0.00017753326855703616,-1.2077797940832702e-12,-1.2077797940832702
50260,0.00017753660110847474,0.00017753660189030997,-7.818352225857844e-13,-0.7818352225857844
50261,0.0001775399349344002,0.0001775399352235838,-2.891835674380322e-13,-0.2891835674380322
50262,0.00017754326871998512,0.0001775432685568576,1.6312752695674836e-13,0.16312752695674837
50263,0.00017754660253861584,0.00017754660189013143,6.484844259425293e-13,0.6484844259425293
50264,0.00017754993636389676,0.00017754993522340525,1.1404915228987389e-12,1.140491522898739
50265,0.0001775532701001466,0.0001775532685566791,1.543467515317608e-12,1.543467515317608
50266,0.00017755660397454425,0.0001775566018899529,2.0845913559321905e-12,2.0845913559321905
50267,0.00017755993778354574,0.00017755993522322673,2.5603190217432586e-12,2.5603190217432585
50268,0.00017756327158600831,0.00017756326855650055,3.029507782936904e-12,3.029507782936904
50269,0.0001775666054170898,0.00017756660188977436,3.5273154428310738e-12,3.527315442831074
50270,0.00017756993919352962,0.00017756993522304818,3.970481454531265e-12,3.970481454531265
50271,0.0001775732730058165,0.00017757326855632203,4.449494496870453e-12,4.449494496870453
50272,0.0001775766067990789,0.00017757660188959584,4.909483070794092e-12,4.909483070794092
50273,0.0001775799405594545,0.00017757993522286966,5.336584838375326e-12,5.336584838375326
50274,0.00017758327436906678,0.00017758326855614348,5.812923316585318e-12,5.8129233165853185
50275,0.0001775866081061156,0.0001775866018894173,6.216698311795201e-12,6.2166983117952
50276,0.0001775899418415117,0.00017758993522269112,6.618820603423455e-12,6.618820603423455
50277,0.00017759327559996817,0.00017759326855596496,7.044003224739172e-12,7.044003224739172
50278,0.00017759660930837163,0.00017759660188923878,7.419132866715521e-12,7.419132866715521
50279,0.0001775999430588311,0.0001775999352225126,7.836318521227202e-12,7.836318521227202
50280,0.0001776032689999769,0.00017760326855578641,4.441904874056479e-13,0.4441904874056479
50281,0.0001776065990393674,0.00017760660188906023,-2.8496928264848326e-12,-2.8496928264848327
50282,0.000177609932469923,0.00017760993522233405,-2.7524110247300404e-12,-2.7524110247300406
50283,0.00017761326527298099,0.00017761326855560787,-3.282626869917572e-12,-3.2826268699175722
50284,0.00017761659866651327,0.0001776166018888817,-3.222368431053869e-12,-3.2223684310538694
50285,0.000177619932182125,0.00017761993522215553,-3.040030508081666e-12,-3.040030508081666
50286,0.0001776232658332029,0.00017762326855542935,-2.7222264296722293e-12,-2.7222264296722294
50287,0.00017762659950730668,0.00017762660188870317,-2.3813964720993602e-12,-2.38139647209936
50288,0.00017762993328145337,0.00017762993522197699,-1.9405236022040845e-12,-1.9405236022040846
50289,0.00017763326708766303,0.0001776332685552508,-1.4675877569871665e-12,-1.4675877569871665
50290,0.00017763660088690938,0.00017763660188852465,-1.0016152544331453e-12,-1.0016152544331454
50291,0.00017763993475456894,0.00017763993522179847,-4.672295134801258e-13,-0.46722951348012576
50292,0.00017764326857816967,0.00017764326855507228,2.309739536938304e-14,0.023097395369383038
50293,0.00017764660244004024,0.0001776466018883461,5.516941472426334e-13,0.5516941472426334
50294,0.000177649936309405,0.00017764993522161992,1.0877850942674838e-12,1.0877850942674838
50295,0.00017765327007455007,0.00017765326855489374,1.5196563485206443e-12,1.5196563485206442
50296,0.00017765660398003018,0.00017765660188816758,2.091862612012073e-12,2.091862612012073
50297,0.0001776599378159773,0.0001776599352214414,2.594535900205815e-12,2.594535900205815
50298,0.0001776632716523986,0.00017766326855471522,3.0976833913247476e-12,3.0976833913247477
50299,0.00017766660550397307,0.00017766660188798904,3.6159840443720437e-12,3.6159840443720435
50300,0.00017766993930924934,0.00017766993522126285,4.087986499938669e-12,4.087986499938669
50301,0.00017767327316353375,0.00017767326855453667,4.608997089211038e-12,4.608997089211038
50302,0.00017767660698390708,0.0001776766018878105,5.096096599243601e-12,5.096096599243601
50303,0.00017767994077427508,0.00017767993522108434,5.5531907599425184e-12,5.5531907599425185
50304,0.00017768327461238826,0.00017768326855435815,6.05803012144656e-12,6.05803012144656
50305,0.00017768660838153548,0.00017768660188763197,6.493903518284071e-12,6.493903518284071
50306,0.00017768994216683552,0.0001776899352209058,6.945929738558031e-12,6.945929738558031
50307,0.00017769327593568997,0.0001776932685541796,7.381510373703916e-12,7.381510373703916
50308,0.00017769660967301054,0.00017769660188745343,7.785557124188332e-12,7.785557124188332
50309,0.00017769994344410728,0.00017769993522072727,8.223380024952189e-12,8.223380024952188
50310,0.00017770326935495398,0.0001777032685540011,8.009529043234087e-13,0.8009529043234087
50311,0.00017770659927439332,0.0001777066018872749,-2.612881577705929e-12,-2.612881577705929
50312,0.00017770993263321161,0.00017770993522054872,-2.5873370968958126e-12,-2.5873370968958125
