offset_frequency_hz,phase_noise_dbc_per_hz
3252941.2345464113,-140.52617417461823
3258823.5875926074,-148.07097961733535
3264705.940638803,-146.15404258981488
3270588.293684999,-140.11280725687183
3276470.646731195,-137.3528453498725
3282352.999777391,-140.58254281541107
3288235.352823587,-134.14323378522457
3294117.705869783,-133.2869882981529
3300000.058915979,-142.17318003950294
3305882.4119621753,-144.90304041762687
3311764.7650083713,-139.2550277855075
3317647.1180545674,-135.5154037586364
3323529.4711007634,-136.5732255111301
3329411.8241469595,-143.52990479357746
3335294.1771931555,-135.4978385082379
3341176.5302393516,-140.43435471831955
3347058.8832855476,-137.49555451767702
3352941.2363317437,-141.23990772229112
3358823.5893779397,-147.00210345148196
3364705.9424241357,-137.32621836406818
3370588.295470332,-135.4631831056629
3376470.648516528,-145.36839735504802
3382353.001562724,-153.68439650281718
3388235.35460892,-146.28356649389062
3394117.707655116,-147.21993971002388
3400000.060701312,-156.7334475815168
3405882.413747508,-141.7570314700845
3411764.766793704,-137.19597795540597
3417647.1198399,-142.95899002589502
3423529.472886096,-144.05838937027846
3429411.8259322923,-142.8582813228167
3435294.1789784883,-138.98045047326286
3441176.5320246844,-142.05367940027728
3447058.8850708804,-138.20779227492937
3452941.2381170765,-134.51337572954577
3458823.5911632725,-134.171242735335
3464705.9442094686,-134.81847763335395
3470588.2972556646,-134.7965414794569
3476470.6503018606,-134.67918942136384
3482353.0033480567,-138.78197636878926
3488235.3563942527,-148.96186839066343
3494117.709440449,-141.3888809954523
3500000.062486645,-138.64319679407427
3505882.415532841,-133.30526669086316
3511764.768579037,-137.67368507420673
3517647.121625233,-156.9877651149858
3523529.474671429,-138.41279823142204
3529411.827717625,-138.28684345743375
3535294.180763821,-137.29516205633058
3541176.533810017,-134.69809890655839
3547058.886856213,-132.58894463256308
3552941.2399024093,-138.11955284295388
3558823.5929486053,-138.65252920984324
3564705.9459948014,-136.88587929513278
3570588.2990409974,-145.30630762450005
3576470.6520871934,-158.50888347290405
3582353.0051333895,-141.52446693740208
3588235.3581795855,-134.99921981556443
3594117.7112257816,-134.23042482231781
3600000.0642719776,-136.81209306704818
3605882.4173181737,-132.36965182398072
3611764.7703643697,-134.53745523536446
3617647.123410566,-150.34432060099311
3623529.476456762,-137.16476918589947
3629411.829502958,-142.45692012678143
3635294.182549154,-138.6734047718721
3641176.53559535,-144.56146411849292
3647058.888641546,-141.55394598768376
3652941.241687742,-135.54059857007732
3658823.594733938,-136.35496936862498
3664705.947780134,-141.23185375790922
3670588.30082633,-151.10510036543394
3676470.6538725263,-139.62843466980058
3682353.0069187223,-138.68818814254286
3688235.3599649183,-134.8518209183422
3694117.7130111144,-132.69508081919497
3700000.0660573104,-135.60251195423248
3705882.4191035065,-143.0320598960376
3711764.7721497025,-145.97586320626885
3717647.1251958986,-137.08096399216168
3723529.4782420946,-136.60906679713827
3729411.8312882907,-145.23526391958399
3735294.1843344867,-146.71519933045772
3741176.537380683,-141.177677381998
3747058.890426879,-138.5844951477284
3752941.243473075,-142.39420782602087
3758823.596519271,-137.31479319874552
3764705.9495654665,-134.94958436576724
3770588.3026116625,-137.01426580168328
3776470.6556578586,-151.7055727168752
3782353.0087040546,-138.49860281621002
3788235.3617502507,-136.24400992042735
3794117.7147964467,-138.72423566514817
3800000.067842643,-134.87566932963466
3805882.420888839,-135.25946381661504
3811764.773935035,-146.424573351774
3817647.126981231,-146.41266952808078
3823529.480027427,-142.87370985899298
3829411.833073623,-143.20291110848274
3835294.186119819,-143.4595946997025
3841176.539166015,-156.99376777653492
3847058.892212211,-155.1310740653458
3852941.245258407,-148.84024994298267
3858823.5983046032,-137.54513550030998
3864705.9513507993,-139.7428906294262
3870588.3043969953,-140.96951701352583
3876470.6574431914,-137.36116014244442
3882353.0104893874,-134.0864266036201
3888235.3635355835,-133.95064622980647
3894117.7165817795,-145.8996078408476
3900000.0696279756,-140.0275506658317
3905882.4226741716,-146.04312049515264
3911764.7757203677,-140.99976125801172
3917647.1287665637,-140.74184771854095
3923529.48181276,-138.84247018445078
3929411.834858956,-138.96398351422633
3935294.187905152,-140.58694872940367
3941176.540951348,-139.9072180370521
3947058.893997544,-135.03726589610415
3952941.24704374,-135.34809313129136
3958823.600089936,-142.0879668633823
3964705.953136132,-141.57558838950348
3970588.306182328,-135.71501287412622
3976470.659228524,-137.5502039794214
3982353.0122747202,-135.5125779930474
3988235.3653209163,-136.70902845319122
3994117.7183671123,-145.29097517503286
4000000.0714133084,-143.5906298409461
4005882.4244595044,-145.7269837346959
4011764.7775057005,-148.54082853133045
4017647.1305518965,-147.62367166356898
4023529.4835980926,-141.84550951636285
4029411.8366442886,-135.83171493767986
4035294.1896904847,-136.43203359092732
4041176.5427366807,-145.11575376597236
4047058.8957828768,-147.84032897733852
4052941.248829073,-143.95841442516237
4058823.601875269,-140.49361746385694
4064705.954921465,-139.5131671707014
4070588.307967661,-139.94515297346996
4076470.661013857,-139.91804968620505
4082353.014060053,-156.3537182440496
4088235.367106249,-145.05714053432666
4094117.720152445,-142.38879196174804
4100000.073198641,-146.10849832009254
4105882.426244837,-147.52032831282816
4111764.7792910333,-138.13201833036877
4117647.1323372293,-137.61984108012402
4123529.4853834254,-142.10629642179128
4129411.8384296214,-141.60729829879048
4135294.1914758175,-138.226218263985
4141176.5445220135,-134.85861481646657
4147058.8975682096,-134.35204232494618
4152941.2506144056,-134.76898038533503
4158823.6036606017,-136.19104282735594
4164705.9567067977,-139.17494780072556
4170588.3097529938,-138.58206770227648
4176470.66279919,-142.59839814500742
4182353.015845386,-144.9538312670861
4188235.368891582,-143.26350891009955
4194117.721937778,-145.26049707016307
4200000.074983974,-157.35279385192663
4205882.42803017,-143.5946134193333
4211764.781076366,-140.31645991790546
4217647.134122562,-143.8310822502592
4223529.487168758,-150.1920126637625
4229411.840214954,-143.30874722570178
4235294.19326115,-143.60568377818151
4241176.546307346,-141.91122772823272
4247058.899353542,-136.19343941940005
4252941.252399738,-133.04261899505508
