edge_number,actual_edge_time_s,ideal_edge_time_s,tie_s,tie_µs
161,0.018399101368718408,0.0183997197938702,-6.184251517937774e-07,-0.6184251517937774
162,0.01843243918266094,0.018433055619807823,-6.1643714688378e-07,-0.61643714688378
163,0.018465773760624422,0.01846639144574545,-6.17685121027944e-07,-0.617685121027944
164,0.018499112448594795,0.018499727271683076,-6.148230882817292e-07,-0.6148230882817293
165,0.018532446299614622,0.018533063097620702,-6.167980060804708e-07,-0.6167980060804709
166,0.01856578508091027,0.01856639892355833,-6.138426480596644e-07,-0.6138426480596645
167,0.018599119859495923,0.018599734749495955,-6.148900000321752e-07,-0.6148900000321752
168,0.018632458369217213,0.018633070575433577,-6.122062163646521e-07,-0.6122062163646521
169,0.018665793716718164,0.018666406401371204,-6.126846530403459e-07,-0.6126846530403459
170,0.01869913279186697,0.01869974222730883,-6.09435441858985e-07,-0.609435441858985
171,0.018732467274520527,0.018733078053246456,-6.107787259297666e-07,-0.6107787259297667
172,0.018765806410464554,0.01876641387918408,-6.074687195253832e-07,-0.6074687195253833
173,0.018799142373681934,0.018799749705121705,-6.073314397718462e-07,-0.6073314397718462
174,0.01883248164756084,0.01883308553105933,-6.038834984921356e-07,-0.6038834984921356
175,0.0188658165719415,0.018866421356996958,-6.047850554566355e-07,-0.6047850554566355
176,0.01889915598720368,0.018899757182934584,-6.011957309037804e-07,-0.6011957309037804
177,0.0189324923418496,0.01893309300887221,-6.00667022611356e-07,-0.6006670226113561
178,0.018965831915231216,0.018966428834809836,-5.969195786208189e-07,-0.5969195786208189
179,0.01899916724635668,0.01899976466074746,-5.974143907808145e-07,-0.5974143907808146
180,0.01903250693070575,0.019033100486685085,-5.935559793363017e-07,-0.5935559793363018
181,0.019065843661256236,0.01906643631262271,-5.926513664759877e-07,-0.5926513664759877
182,0.01909918359038091,0.019099772138560338,-5.885481794289101e-07,-0.5885481794289101
183,0.019132519868213956,0.01913310796449796,-5.880962840050515e-07,-0.5880962840050515
184,0.019165859786443654,0.019166443790435587,-5.840039919338676e-07,-0.5840039919338676
185,0.019199196241970484,0.019199779616373213,-5.833744027301798e-07,-0.5833744027301798
186,0.01923253639067715,0.01923311544231084,-5.790516336916237e-07,-0.5790516336916237
187,0.019265873767271405,0.019266451268248466,-5.775009770607461e-07,-0.5775009770607461
188,0.019299214023624015,0.019299787094186092,-5.730705620779482e-07,-0.5730705620779483
189,0.019332551407300093,0.019333122920123715,-5.715128236223606e-07,-0.5715128236223607
190,0.019365891898831724,0.01936645874606134,-5.668472296174728e-07,-0.5668472296174728
191,0.01939922873397191,0.019399794571998967,-5.658380270591453e-07,-0.5658380270591453
192,0.019432569498057863,0.019433130397936593,-5.608998787313964e-07,-0.5608998787313965
193,0.01946590692065065,0.019466466223874216,-5.593032235656766e-07,-0.5593032235656766
194,0.019499247693801573,0.019499802049811842,-5.543560102704011e-07,-0.5543560102704012
195,0.01953258571374292,0.01953313787574947,-5.521620065486451e-07,-0.5521620065486451
196,0.01956592656057168,0.019566473701687095,-5.471411154152335e-07,-0.5471411154152336
197,0.01959926492212146,0.01959980952762472,-5.446055032609639e-07,-0.5446055032609639
198,0.019632605811384832,0.019633145353562347,-5.39542177516172e-07,-0.5395421775161721
199,0.01966594442261418,0.019666481179499973,-5.367568857932155e-07,-0.5367568857932156
200,0.019699285428615192,0.019699817005437596,-5.315768224045666e-07,-0.5315768224045666
201,0.01973262426132695,0.019733152831375222,-5.28570048272808e-07,-0.5285700482728081
202,0.01976596540125198,0.01976648865731285,-5.232560608699196e-07,-0.5232560608699196
203,0.019799304445590107,0.019799824483250475,-5.200376603689546e-07,-0.5200376603689546
204,0.019832645757552815,0.019833160309188098,-5.145516352833553e-07,-0.5145516352833553
205,0.01986598499685166,0.019866496135125724,-5.111382740646815e-07,-0.5111382740646816
206,0.01989932643882934,0.01989983196106335,-5.055222340115402e-07,-0.5055222340115403
207,0.019932665862600753,0.019933167787000976,-5.019244002237018e-07,-0.5019244002237019
208,0.019966007578837514,0.019966503612938603,-4.960341010898369e-07,-0.49603410108983687
209,0.0199993471816649,0.01999983943887623,-4.922572113305597e-07,-0.4922572113305597
210,0.020032689417202244,0.02003317526481385,-4.858476116080531e-07,-0.48584761160805306
211,0.020066029220158228,0.020066511090751478,-4.818705932510544e-07,-0.48187059325105436
212,0.02009937186362874,0.020099846916689104,-4.7505306036560403e-07,-0.475053060365604
213,0.020132711952605287,0.02013318274262673,-4.7079002144373395e-07,-0.47079002144373394
214,0.020166054026603368,0.020166518568564353,-4.64541960985831e-07,-0.464541960985831
215,0.02019939430512615,0.02019985439450198,-4.600893758310849e-07,-0.4600893758310849
216,0.020232736439556875,0.020233190220439606,-4.537808827316521e-07,-0.45378088273165207
217,0.020266076977777773,0.020266526046377232,-4.4906859945972833e-07,-0.4490685994597283
218,0.020299419945806675,0.020299861872314858,-4.419265081836983e-07,-0.4419265081836983
219,0.02033276100796022,0.020333197698252484,-4.366902922645073e-07,-0.4366902922645073
220,0.02036610366406056,0.02036653352419011,-4.298601295513178e-07,-0.4298601295513178
221,0.020399444568783735,0.020399869350127733,-4.247813439994803e-07,-0.4247813439994803
222,0.02043278715945051,0.02043320517606536,-4.180166148511073e-07,-0.4180166148511073
223,0.020466128559631206,0.020466541002002986,-4.124423717805077e-07,-0.4124423717805077
224,0.020499472219043635,0.02049987682794061,-4.046088969741897e-07,-0.40460889697418967
225,0.020532813639764082,0.020533212653878235,-3.9901411415313405e-07,-0.39901411415313404
226,0.020566156438443402,0.02056654847981586,-3.92041372460072e-07,-0.392041372460072
227,0.02059949826478402,0.020599884305753487,-3.860409694696194e-07,-0.3860409694696194
228,0.020632842296847514,0.020633220131691114,-3.778348436005159e-07,-0.3778348436005159
229,0.02066618412276238,0.02066655595762874,-3.718348663597766e-07,-0.3718348663597766
230,0.020699527286135687,0.020699891783566366,-3.644974306798994e-07,-0.36449743067989937
231,0.02073286999120636,0.02073322760950399,-3.5761829762850873e-07,-0.3576182976285087
232,0.02076621384457664,0.020766563435441615,-3.49590864975879e-07,-0.349590864975879
233,0.020799556052096265,0.02079989926137924,-3.432092829769302e-07,-0.3432092829769302
234,0.02083290031100933,0.020833235087316868,-3.3477630753744837e-07,-0.33477630753744836
235,0.020866243269157925,0.02086657091325449,-3.276440965663259e-07,-0.32764409656632587
236,0.020899586788286167,0.020899906739192117,-3.199509059505219e-07,-0.3199509059505219
