period_number,period_s,period_error_s,period_error_ns
108,3.332858522225521e-05,-7.240715370367807e-09,-7.240715370367806
109,3.3333641900504946e-05,-2.1840371206303727e-09,-2.184037120630373
110,3.332821263154345e-05,-7.613306082123578e-09,-7.613306082123578
111,3.333386248683887e-05,-1.9634507867092926e-09,-1.9634507867092925
112,3.332861637299345e-05,-7.2095646321289125e-09,-7.209564632128912
113,3.333322322732202e-05,-2.6027103035584703e-09,-2.6027103035584704
114,3.332903406595006e-05,-6.791871675517597e-09,-6.791871675517597
115,3.333320303529688e-05,-2.6229023286937275e-09,-2.6229023286937276
116,3.33293077969983e-05,-6.518140627272801e-09,-6.518140627272801
117,3.3334485365844185e-05,-1.3405717813906376e-09,-1.3405717813906375
118,3.3329558514840624e-05,-6.267422784952243e-09,-6.267422784952243
119,3.333474579097703e-05,-1.0801466485431182e-09,-1.0801466485431181
120,3.333041656364971e-05,-5.409373975864113e-09,-5.409373975864113
121,3.333596793639662e-05,1.419987710450871e-10,0.1419987710450871
122,3.3331416271757675e-05,-4.4096658679014305e-09,-4.40966586790143
123,3.333575601709507e-05,-6.992053050642374e-11,-0.06992053050642374
124,3.333253743493386e-05,-3.28850269171383e-09,-3.28850269171383
125,3.333648647979928e-05,6.605421737061962e-10,0.6605421737061962
126,3.333299912603935e-05,-2.826811586228279e-09,-2.826811586228279
127,3.333702495130972e-05,1.1990136841423743e-09,1.1990136841423744
128,3.333334063841675e-05,-2.4852992088229614e-09,-2.4852992088229615
129,3.333704593297751e-05,1.2199953519344492e-09,1.2199953519344493
130,3.333347228245617e-05,-2.3536551694035074e-09,-2.3536551694035075
131,3.3336916112246956e-05,1.0901746213799962e-09,1.0901746213799963
132,3.3333440737391e-05,-2.3852002345746198e-09,-2.38520023457462
133,3.333677930134754e-05,9.533637219651331e-10,0.9533637219651331
134,3.33333735757918e-05,-2.4523618337733482e-09,-2.4523618337733484
135,3.333669646096715e-05,8.705233415763841e-10,0.8705233415763841
136,3.333329580557792e-05,-2.530132047653239e-09,-2.530132047653239
137,3.333659934945388e-05,7.734118283010899e-10,0.7734118283010899
138,3.3333266143419776e-05,-2.5597942057996098e-09,-2.55979420579961
139,3.3336634980285496e-05,8.090426599195949e-10,0.8090426599195949
140,3.333329479629499e-05,-2.531141330588244e-09,-2.531141330588244
141,3.333669199876224e-05,8.660611366652577e-10,0.8660611366652576
142,3.333338279540646e-05,-2.4431422191182944e-09,-2.4431422191182945
143,3.3336646573838e-05,8.206362124265005e-10,0.8206362124265004
144,3.3333479400519256e-05,-2.3465371063201073e-09,-2.3465371063201075
145,3.333681008552136e-05,9.841478957863187e-10,0.9841478957863187
146,3.333357398181344e-05,-2.2519558121346156e-09,-2.2519558121346157
147,3.333694413570898e-05,1.1181980834031264e-09,1.1181980834031264
148,3.333361108876984e-05,-2.2148488557381446e-09,-2.2148488557381447
149,3.333713660532561e-05,1.3106677000364548e-09,1.3106677000364548
150,3.333352376225229e-05,-2.3021753732830946e-09,-2.3021753732830947
151,3.333763877769527e-05,1.812840069696114e-09,1.812840069696114
152,3.3333238629407874e-05,-2.587308217701762e-09,-2.587308217701762
153,3.3338063224176706e-05,2.2372865511301404e-09,2.2372865511301403
154,3.333306419716492e-05,-2.7617404606570866e-09,-2.761740460657087
155,3.333830503610136e-05,2.4790984757806995e-09,2.4790984757806993
156,3.3333170649890026e-05,-2.6552877355499665e-09,-2.6552877355499667
157,3.333830445211364e-05,2.4785144880614058e-09,2.4785144880614056
158,3.3333674793020046e-05,-2.1511446055298483e-09,-2.1511446055298484
159,3.333808154122597e-05,2.255603600396388e-09,2.255603600396388
160,3.3334674543555876e-05,-1.1513940697003905e-09,-1.1513940697003904
161,3.333781394253277e-05,1.9880049071920253e-09,1.9880049071920254
162,3.3334577963482076e-05,-1.2479741434999253e-09,-1.2479741434999252
163,3.3338687970372455e-05,2.862032746878845e-09,2.8620327468788447
164,3.33338510198275e-05,-1.9749177980775195e-09,-1.9749177980775194
165,3.3338781295647046e-05,2.9553580214704495e-09,2.9553580214704493
166,3.333477858565373e-05,-1.047351971846639e-09,-1.0473519718466389
167,3.3338509721290294e-05,2.6837836647177144e-09,2.6837836647177142
168,3.3335347500950546e-05,-4.784366750297314e-10,-0.47843667502973136
169,3.33390751488076e-05,3.249211182024974e-09,3.249211182024974
170,3.333448265355546e-05,-1.3432840701175846e-09,-1.3432840701175845
171,3.3339135944027154e-05,3.310006401578019e-09,3.310006401578019
172,3.333596321737978e-05,1.3727975420113007e-10,0.13727975420113006
173,3.333927387890595e-05,3.4479412803746718e-09,3.4479412803746716
174,3.333492438066174e-05,-9.015569638358206e-10,-0.9015569638358206
175,3.3339415262179095e-05,3.5893245535191737e-09,3.5893245535191736
176,3.3336354645918664e-05,5.287082930884252e-10,0.5287082930884252
177,3.333957338161678e-05,3.747443991201243e-09,3.747443991201243
178,3.3335331125462775e-05,-4.948121628010676e-10,-0.4948121628010676
179,3.333968434907075e-05,3.858411445176895e-09,3.858411445176895
180,3.3336730550486554e-05,9.046128609781429e-10,0.9046128609781429
181,3.333992912467332e-05,4.103187047741646e-09,4.103187047741646
182,3.333627783304663e-05,4.518954210532217e-10,0.4518954210532217
183,3.3339918229697424e-05,4.092292071847963e-09,4.092292071847964
184,3.333645552682993e-05,6.295892043519042e-10,0.6295892043519041
185,3.3340148706664796e-05,4.322769039220181e-09,4.322769039220181
186,3.333737659425712e-05,1.5506566315416853e-09,1.5506566315416854
187,3.334025635260904e-05,4.4304149834619106e-09,4.430414983461911
188,3.333738367607836e-05,1.5577384527822253e-09,1.5577384527822253
189,3.334049153163113e-05,4.665594005551937e-09,4.665594005551937
190,3.333683514018457e-05,1.009202558991556e-09,1.009202558991556
191,3.334076408595399e-05,4.938148328412933e-09,4.938148328412933
192,3.333742259278849e-05,1.596655162914456e-09,1.596655162914456
193,3.3340773150921515e-05,4.9472132959395504e-09,4.947213295939551
194,3.3338019941347996e-05,2.1940037224201176e-09,2.1940037224201174
195,3.334084682875965e-05,5.020891134075605e-09,5.0208911340756055
196,3.333836154978051e-05,2.535612154933747e-09,2.5356121549337467
197,3.334088926337103e-05,5.0633257454559205e-09,5.063325745455921
198,3.3338611229349197e-05,2.7852917236205693e-09,2.785291723620569
199,3.334100600101142e-05,5.180063385843586e-09,5.180063385843586
200,3.3338832711758e-05,3.006774132422612e-09,3.006774132422612
201,3.334113992502913e-05,5.313987403552539e-09,5.313987403552539
202,3.3339044338127205e-05,3.2184005016290757e-09,3.2184005016290755
203,3.334131196270837e-05,5.486025082793882e-09,5.486025082793883
204,3.3339239298844914e-05,3.4133612193378233e-09,3.413361219337823
205,3.334144197767938e-05,5.616040053805387e-09,5.616040053805388
206,3.333942377141408e-05,3.597833788502474e-09,3.597833788502474
207,3.3341716236760105e-05,5.890299134529036e-09,5.8902991345290365
208,3.333960282738552e-05,3.7768897599412205e-09,3.7768897599412203
209,3.334223553734528e-05,6.4095997197012805e-09,6.409599719701281
210,3.333980295598324e-05,3.977018357662781e-09,3.977018357662781
211,3.334264347051169e-05,6.8175328861143575e-09,6.817532886114358
212,3.334008897654811e-05,4.263038922534151e-09,4.263038922534151
213,3.3342073998080674e-05,6.248060455097564e-09,6.248060455097565
214,3.3340278522780986e-05,4.4525851554101875e-09,4.452585155410188
215,3.334213443072567e-05,6.308493100096895e-09,6.308493100096896
216,3.3340538220898164e-05,4.712283272587819e-09,4.712283272587819
217,3.334296802890227e-05,7.142091276694123e-09,7.142091276694123
218,3.334106215354543e-05,5.2362159198550634e-09,5.236215919855064
219,3.334265610033943e-05,6.830162713853554e-09,6.830162713853555
220,3.334090472317461e-05,5.0787855490321216e-09,5.078785549032122
221,3.334259066677461e-05,6.764729149037079e-09,6.76472914903708
222,3.334140018069684e-05,5.57424307126369e-09,5.57424307126369
223,3.334365941242909e-05,7.833474803512646e-09,7.8334748035126465
224,3.3341420720447296e-05,5.5947828217197066e-09,5.594782821719707
225,3.33427986793193e-05,6.9727416937261305e-09,6.972741693726131
226,3.334182634061669e-05,6.000402991116643e-09,6.000402991116643
227,3.3344032063495344e-05,8.206125869767594e-09,8.206125869767593
228,3.334182591486698e-05,5.999977241403381e-09,5.999977241403381
229,3.334316337330612e-05,7.337435680541287e-09,7.3374356805412875
230,3.334270507067416e-05,6.879133048585278e-09,6.879133048585278
231,3.334385337027887e-05,8.027432653293803e-09,8.027432653293802
232,3.334220751962519e-05,6.381581999612856e-09,6.381581999612856
233,3.334425891306572e-05,8.432975440145923e-09,8.432975440145922
234,3.334295814859389e-05,7.132210968317115e-09,7.132210968317115
235,3.3343519128242044e-05,7.693190616468054e-09,7.693190616468054
236,3.334351853642725e-05,7.692598801676436e-09,7.692598801676437
237,3.334414001366498e-05,8.3140760394042e-09,8.314076039404199
238,3.334297331159322e-05,7.14737396764547e-09,7.14737396764547
239,3.33450659239197e-05,9.239986294121865e-09,9.239986294121865
240,3.334306832153064e-05,7.242383905062982e-09,7.242383905062982
241,3.334494364254023e-05,9.117704914655294e-09,9.117704914655294
242,3.334372305323699e-05,7.897115611413979e-09,7.897115611413979
243,3.334442879871294e-05,8.602861087362462e-09,8.602861087362461
244,3.3344570219237535e-05,8.744281611958887e-09,8.744281611958886
245,3.3344320528764376e-05,8.494591138800294e-09,8.494591138800294
246,3.334498372057487e-05,9.157782949296305e-09,9.157782949296305
247,3.334444140862952e-05,8.615471003945601e-09,8.6154710039456
248,3.334523411793397e-05,9.40818030839357e-09,9.40818030839357
249,3.334462776048014e-05,8.801822854562929e-09,8.801822854562928
250,3.334545692833951e-05,9.630990713935966e-09,9.630990713935965
251,3.3344759624725356e-05,8.933687099780424e-09,8.933687099780423
252,3.334566497338945e-05,9.83903576387351e-09,9.83903576387351
253,3.3344977230814754e-05,9.151293189178116e-09,9.151293189178116
254,3.334578911327532e-05,9.96317564974441e-09,9.963175649744409
255,3.3345335080817856e-05,9.509143192280183e-09,9.509143192280183
256,3.334571565642708e-05,9.889718801501407e-09,9.889718801501406
257,3.334611863442874e-05,1.0292696803163742e-08,10.292696803163741
258,3.334531805031238e-05,9.492112686802106e-09,9.492112686802106
259,3.334668752391287e-05,1.0861586287295327e-08,10.861586287295326
260,3.3345365979309954e-05,9.540041684378436e-09,9.540041684378435
261,3.334662466907348e-05,1.079873144790649e-08,10.798731447906489
262,3.334652269640706e-05,1.069675878148451e-08,10.69675878148451
263,3.3345892134065136e-05,1.006619643956002e-08,10.06619643956002
264,3.334689697192042e-05,1.1071034294844067e-08,11.071034294844067
265,3.334678311401815e-05,1.0957176392571038e-08,10.957176392571037
266,3.3346136721505715e-05,1.0310783880138779e-08,10.310783880138779
267,3.3347243135087995e-05,1.1417197462419031e-08,11.41719746241903
268,3.3347088916002576e-05,1.1262978377000348e-08,11.262978377000348
269,3.3346393025244364e-05,1.0567087618788156e-08,10.567087618788156
270,3.33473671556804e-05,1.1541218054825935e-08,11.541218054825935
271,3.334764810723756e-05,1.1822169611983729e-08,11.822169611983728
272,3.334695234784649e-05,1.1126410220910926e-08,11.126410220910925
273,3.3347280303439725e-05,1.1454365814148764e-08,11.454365814148764
274,3.334785401953519e-05,1.202808190961318e-08,12.02808190961318
275,3.3348109593021175e-05,1.2283655395598663e-08,12.283655395598663
276,3.334758295115911e-05,1.1757013533534471e-08,11.75701353353447
277,3.3347577723951555e-05,1.175178632597878e-08,11.75178632597878
278,3.334799953933626e-05,1.2173601710683429e-08,12.173601710683428
279,3.334853242824287e-05,1.2706490617295945e-08,12.706490617295945
280,3.3348351778341584e-05,1.252584071600798e-08,12.525840716007979
281,3.3348563004010484e-05,1.2737066384908174e-08,12.737066384908173
282,3.334775044645452e-05,1.1924508828945629e-08,11.924508828945628
283,3.334862202631489e-05,1.2796088689313195e-08,12.796088689313194
284,3.334844504429904e-05,1.2619106673465046e-08,12.619106673465046
285,3.334916391602161e-05,1.3337978396030952e-08,13.337978396030952
286,3.3348773939279736e-05,1.2948001654159596e-08,12.948001654159595
287,3.3349447133318444e-05,1.3621195692867954e-08,13.621195692867953
288,3.33488566699458e-05,1.3030732320227383e-08,13.030732320227383
289,3.334963334239785e-05,1.3807404772273762e-08,13.807404772273761
290,3.334872283182813e-05,1.2896894202555514e-08,12.896894202555513
291,3.33499021042058e-05,1.4076166580221532e-08,14.076166580221532
292,3.3348615932505404e-05,1.2789994879828397e-08,12.789994879828397
293,3.335032216124356e-05,1.4496223617985909e-08,14.496223617985908
294,3.334884033199051e-05,1.3014394364933173e-08,13.014394364933173
295,3.335064728372458e-05,1.4821346099006699e-08,14.821346099006698
296,3.334901761069958e-05,1.3191673074006865e-08,13.191673074006864
297,3.3350905103837064e-05,1.507916621148813e-08,15.07916621148813
298,3.334913855773322e-05,1.3312620107645162e-08,13.312620107645161
299,3.3351393646349065e-05,1.556770872348861e-08,15.56770872348861
300,3.334918840432882e-05,1.3362466703246306e-08,13.362466703246305
301,3.335189505884739e-05,1.6069121221815746e-08,16.069121221815745
302,3.334924525116856e-05,1.3419313542981808e-08,13.419313542981808
