period_number,period_s,period_error_s,period_error_fs
6837,3.921571231266761e-09,7.318455780868606e-14,73.18455780868605
6838,3.9215566577193144e-09,5.861101036173334e-14,58.61101036173334
6839,3.9215812953463224e-09,8.324863736972844e-14,83.24863736972844
6840,3.92162081467814e-09,1.2276796918715095e-13,122.76796918715095
6841,3.921594313036547e-09,9.626632759411014e-14,96.26632759411015
6842,3.9215967158454015e-09,9.866913644877252e-14,98.66913644877252
6843,3.921568947042519e-09,7.090033356663928e-14,70.90033356663929
6844,3.921570823444114e-09,7.277673516150563e-14,72.77673516150563
6845,3.921563062643648e-09,6.501593469569146e-14,65.01593469569146
6846,3.921618591060799e-09,1.2054435184654612e-13,120.54435184654612
6847,3.921613208674639e-09,1.151619656865134e-13,115.16196568651338
6848,3.921591137625224e-09,9.30909162713346e-14,93.0909162713346
6849,3.921590108473417e-09,9.206176446415705e-14,92.06176446415705
6850,3.9215777420363324e-09,7.969532737973307e-14,79.69532737973307
6851,3.9215641950386074e-09,6.614832965474394e-14,66.14832965474395
6852,3.921608133768215e-09,1.1008705926259755e-13,110.08705926259755
6853,3.921626046793879e-09,1.2800008492607718e-13,128.0000849260772
6854,3.9215966679778756e-09,9.862126892285728e-14,98.62126892285728
6855,3.921598524294625e-09,1.0047758567247834e-13,100.47758567247834
6856,3.921584731074587e-09,8.668436563411775e-14,86.68436563411775
6857,3.921573722573618e-09,7.567586466567756e-14,75.67586466567757
6858,3.921593399542006e-09,9.535283305368248e-14,95.35283305368249
6859,3.921633895604456e-09,1.3584889550324287e-13,135.84889550324286
6860,3.9216084971656785e-09,1.1045045672576038e-13,110.45045672576038
6861,3.9216008376296956e-09,1.0279092074285635e-13,102.79092074285634
6862,3.9215926495180485e-09,9.460280909581132e-14,94.60280909581132
6863,3.9215813238066295e-09,8.327709767675618e-14,83.27709767675618
6864,3.921586207514e-09,8.81608050475542e-14,88.1608050475542
6865,3.921624416343547e-09,1.2636963459403917e-13,126.36963459403917
6866,3.921616004859147e-09,1.1795815019440782e-13,117.95815019440782
6867,3.921608887017675e-09,1.1084030872193186e-13,110.84030872193186
6868,3.921595152425869e-09,9.710571691604842e-14,97.10571691604842
6869,3.9215888212543876e-09,9.077454543487363e-14,90.77454543487363
6870,3.9215748420394665e-09,7.679533051382316e-14,76.79533051382316
6871,3.9216500739066434e-09,1.520271976907457e-13,152.0271976907457
6872,3.9216181255585965e-09,1.2007884964378946e-13,120.07884964378947
6873,3.921608124742232e-09,1.1007803327951161e-13,110.07803327951162
6874,3.9216071178165696e-09,1.0907110761687001e-13,109.07110761687001
6875,3.921594455500712e-09,9.640879175957474e-14,96.40879175957474
6876,3.921580244944153e-09,8.219823519997017e-14,82.19823519997017
6877,3.9216277973738115e-09,1.297506648588266e-13,129.75066485882658
6878,3.921641792201244e-09,1.4374549229116086e-13,143.74549229116087
6879,3.9216112899620546e-09,1.1324325310186579e-13,113.24325310186579
6880,3.9216117660623336e-09,1.137193533808585e-13,113.7193533808585
6881,3.921599521489573e-09,1.0147478062062188e-13,101.47478062062189
6882,3.92158522173028e-09,8.717502132727607e-14,87.17502132727607
6883,3.921621918721212e-09,1.2387201225939294e-13,123.87201225939293
6884,3.924789745101114e-09,3.2916983921615013e-12,3291.6983921615015
6885,3.928001590089219e-09,6.503543380266521e-12,6503.543380266521
6886,3.922786160492778e-09,1.288113783825381e-12,1288.113783825381
6887,3.921554929365526e-09,5.688265657351988e-14,56.88265657351988
6888,3.920984096027246e-09,-5.139506817068905e-13,-513.9506817068905
6889,3.92120057311849e-09,-2.974735904628438e-13,-297.47359046284384
6890,3.921243445020265e-09,-2.5460168868766163e-13,-254.60168868766164
6891,3.921263118383681e-09,-2.349283252718802e-13,-234.92832527188023
6892,3.921255190778711e-09,-2.428559302419313e-13,-242.8559302419313
6893,3.9212664235468986e-09,-2.316231620541125e-13,-231.62316205411247
6894,3.9212763183825005e-09,-2.2172832645219508e-13,-221.7283264521951
6895,3.921274759245566e-09,-2.2328746338633786e-13,-223.28746338633786
6896,3.921266089395789e-09,-2.319573131636725e-13,-231.9573131636725
6897,3.921285554944753e-09,-2.1249176419930226e-13,-212.49176419930225
6898,3.921329106885236e-09,-1.6893982371648285e-13,-168.93982371648286
6899,3.921323675059457e-09,-1.7437164949558092e-13,-174.37164949558093
6900,3.921309669688159e-09,-1.883770207940426e-13,-188.3770207940426
6901,3.921320874863401e-09,-1.7717184555151354e-13,-177.17184555151354
6902,3.9213121095225175e-09,-1.8593718643518985e-13,-185.93718643518986
6903,3.921308518373872e-09,-1.8952833508100496e-13,-189.52833508100497
6904,3.921304954736856e-09,-1.9309197209669326e-13,-193.09197209669327
6905,3.921327937464773e-09,-1.7010924417972572e-13,-170.10924417972572
6906,3.92136728459818e-09,-1.3076211077234822e-13,-130.76211077234822
6907,3.921349243961921e-09,-1.488027470315294e-13,-148.8027470315294
6908,3.921343685853694e-09,-1.543608552586677e-13,-154.3608552586677
6909,3.921343838211204e-09,-1.5420849774837918e-13,-154.2084977483792
6910,3.921336973368309e-09,-1.6107334064390565e-13,-161.07334064390565
6911,3.9213325595541595e-09,-1.6548715479314845e-13,-165.48715479314845
6912,3.921340920568948e-09,-1.571261400046463e-13,-157.1261400046463
6913,3.921388128818627e-09,-1.099178903254454e-13,-109.9178903254454
6914,3.921379416278389e-09,-1.1863043056332167e-13,-118.63043056332167
6915,3.921363650325393e-09,-1.3439638355957394e-13,-134.39638355957393
6916,3.921367524559226e-09,-1.3052214972652286e-13,-130.52214972652285
6917,3.921359865240084e-09,-1.381814688689924e-13,-138.1814688689924
6918,3.921354768541196e-09,-1.432781677565752e-13,-143.2781677565752
6919,3.921345482349589e-09,-1.5256435936391354e-13,-152.56435936391352
6920,3.921401418562282e-09,-9.662814667093277e-14,-96.62814667093276
6921,3.9214042999921855e-09,-9.374671676722667e-14,-93.74671676722667
6922,3.9213837441966215e-09,-1.1430251233119403e-13,-114.30251233119402
6923,3.9213858167574944e-09,-1.1222995145827074e-13,-112.22995145827073
6924,3.9213792726216015e-09,-1.18774087351176e-13,-118.774087351176
6925,3.921373049084291e-09,-1.249976246616773e-13,-124.99762466167729
6926,3.921361630077275e-09,-1.364166316776748e-13,-136.41663167767481
6927,3.921403799795513e-09,-9.424691343950286e-14,-94.24691343950286
6928,3.921425304620344e-09,-7.274208860890462e-14,-72.74208860890462
6929,3.921401574253714e-09,-9.647245523896385e-14,-96.47245523896385
6930,3.921392251009497e-09,-1.0579569945554689e-13,-105.7956994555469
6931,3.921396168936678e-09,-1.0187777227494465e-13,-101.87777227494465
6932,3.921388863311389e-09,-1.091833975636951e-13,-109.1833975636951
6933,3.921379231421919e-09,-1.1881528703373044e-13,-118.81528703373044
6934,3.921405779819731e-09,-9.22668892220012e-14,-92.2668892220012
6935,3.921443287848098e-09,-5.4758860854756554e-14,-54.758860854756556
6936,3.921421063004605e-09,-7.698370434810241e-14,-76.9837043481024
6937,3.921413129951519e-09,-8.491675743407022e-14,-84.91675743407022
6938,3.9214110098754855e-09,-8.703683346720269e-14,-87.0368334672027
6939,3.9214028143099485e-09,-9.523239900418356e-14,-95.23239900418355
6940,3.921393998743399e-09,-1.0404796555350026e-13,-104.04796555350026
6941,3.921415017954077e-09,-8.302875487595828e-14,-83.02875487595828
6942,3.92145625430977e-09,-4.179239918302479e-14,-41.792399183024784
6943,3.92143546852782e-09,-6.257818113283064e-14,-62.578181132830636
6944,3.921425872715177e-09,-7.217399377557653e-14,-72.17399377557653
6945,3.921424090639171e-09,-7.395606978143664e-14,-73.95606978143664
6946,3.921415428189074e-09,-8.261851987894408e-14,-82.61851987894407
6947,3.921406638209696e-09,-9.140849925699012e-14,-91.40849925699011
6948,3.921426731457508e-09,-7.131525144485939e-14,-71.31525144485938
6949,3.921468634082541e-09,-2.941262641187924e-14,-29.41262641187924
6950,3.921447543992146e-09,-5.050271680644746e-14,-50.50271680644746
6951,3.921437894728336e-09,-6.015198061629689e-14,-60.15198061629689
6952,3.921435637744674e-09,-6.240896427875996e-14,-62.40896427875996
6953,3.921426917696336e-09,-7.112901261668069e-14,-71.12901261668068
6954,3.921417294101013e-09,-8.075260794009652e-14,-80.75260794009652
6955,3.921440357249626e-09,-5.768945932698487e-14,-57.689459326984874
6956,3.921480829784888e-09,-1.721692406456742e-14,-17.21692406456742
6957,3.921457349245544e-09,-4.0697463409031677e-14,-40.69746340903168
6958,3.921449370791492e-09,-4.867591746097232e-14,-48.67591746097232
6959,3.921445854127535e-09,-5.2192581417537677e-14,-52.192581417537674
6960,3.9214373322984594e-09,-6.071441049327374e-14,-60.71441049327374
6961,3.921426090937969e-09,-7.195577098330951e-14,-71.9557709833095
6962,3.921459352281952e-09,-3.869442700041902e-14,-38.69442700041902
6963,3.921489446102183e-09,-8.600606769499243e-15,-8.600606769499242
6964,3.9214655657090775e-09,-3.2480999875176154e-14,-32.48099987517615
6965,3.921460600361283e-09,-3.744634766956233e-14,-37.44634766956233
6966,3.9214548145706e-09,-4.32321383529226e-14,-43.232138352922604
6967,3.921446703112046e-09,-5.13435969063729e-14,-51.3435969063729
6968,3.92143321531176e-09,-6.483139719274432e-14,-64.83139719274432
6969,3.921482283185005e-09,-1.5763523947296288e-14,-15.763523947296289
6970,3.9214957448560194e-09,-2.3018529332817682e-15,-2.301852933281768
6971,3.921471137532462e-09,-2.6909176490555898e-14,-26.909176490555897
6972,3.9214716867079676e-09,-2.6360000985137678e-14,-26.360000985137678
6973,3.92146269970195e-09,-3.534700700297865e-14,-35.34700700297865
6974,3.921454807035395e-09,-4.3239673558021375e-14,-43.23967355802137
6975,3.921444361940085e-09,-5.3684768867529476e-14,-53.68476886752948
6976,3.921502868579289e-09,4.8218703359799265e-15,4.821870335979926
6977,3.921500275005062e-09,2.228296109068727e-15,2.228296109068727
6978,3.921478293998637e-09,-1.975271031568514e-14,-19.752710315685142
6979,3.921480150505122e-09,-1.78962038306839e-14,-17.8962038306839
6980,3.921469450812037e-09,-2.859589691534591e-14,-28.59589691534591
6981,3.921461506157988e-09,-3.6540550964559316e-14,-36.540550964559316
6982,3.921464197662776e-09,-3.3849046176418364e-14,-33.84904617641836
6983,3.921516202992073e-09,1.815628311999896e-14,18.15628311999896
6984,3.921503039341131e-09,4.9926321781463935e-15,4.992632178146393
6985,3.9214870428054376e-09,-1.1003903515139236e-14,-11.003903515139235
6986,3.921486110635515e-09,-1.193607343798796e-14,-11.936073437987961
6987,3.921475688362661e-09,-2.2358346291765242e-14,-22.35834629176524
6988,3.921466191591887e-09,-3.1855117066054585e-14,-31.855117066054586
6989,3.921486004356597e-09,-1.2042352355945852e-14,-12.042352355945852
6990,3.9215280556257476e-09,3.0008916794882056e-14,30.008916794882055
6991,3.921509238619418e-09,1.1191910465038323e-14,11.191910465038323
6992,3.9214901668797875e-09,-7.87982916523088e-15,-7.87982916523088
6993,3.9214911615268605e-09,-6.8851820921926776e-15,-6.885182092192678
6994,3.9214793457831645e-09,-1.8700925788156953e-14,-18.700925788156955
6995,3.921474884941746e-09,-2.3161767206631313e-14,-23.161767206631314
6996,3.9215220364334415e-09,2.398972448883997e-14,23.98972448883997
6997,3.921524129052055e-09,2.608234310195424e-14,26.08234310195424
6998,3.921498164659743e-09,1.1795079043431697e-16,0.11795079043431697
6999,3.921507254908913e-09,9.20819996015022e-15,9.20819996015022
7000,3.921497430898818e-09,-6.158101348495603e-16,-0.6158101348495603
7001,3.921480190945863e-09,-1.785576308965019e-14,-17.85576308965019
7002,3.921482987347211e-09,-1.5059361741321265e-14,-15.059361741321265
7003,3.921543805044661e-09,4.5758335708003927e-14,45.758335708003926
7004,3.921523427491934e-09,2.5380782981193183e-14,25.38078298119318
7005,3.921513702333972e-09,1.565562501926977e-14,15.655625019269769
7006,3.9215049131135354e-09,6.8664045827444665e-15,6.866404582744466
7007,3.921497189338574e-09,-8.573703788793307e-16,-0.8573703788793307
7008,3.921479647923205e-09,-1.8398785747739555e-14,-18.398785747739556
7009,3.92152750547446e-09,2.94587655075086e-14,29.4587655075086
7010,3.921543136579811e-09,4.508987085855799e-14,45.08987085855799
7011,3.9215327083167405e-09,3.4661607787777725e-14,34.661607787777726
7012,3.92147030784675e-09,-2.773886220305043e-14,-27.73886220305043
7013,3.921449046913198e-09,-4.899979575494805e-14,-48.99979575494805
7014,3.921501055034315e-09,3.0083253620634232e-15,3.0083253620634234
7015,3.9214792793757815e-09,-1.876733317122169e-14,-18.76733317122169
7016,3.921564669024692e-09,6.662231573950029e-14,66.6223157395003
7017,3.921540767489644e-09,4.2720780691459913e-14,42.720780691459915
7018,3.9215246150456785e-09,2.6568336725770868e-14,26.56833672577087
7019,3.921529233774038e-09,3.118706508561343e-14,31.18706508561343
7020,3.921514342338514e-09,1.6295629561687962e-14,16.295629561687964
7021,3.92150503508628e-09,6.988377327149086e-15,6.988377327149085
7022,3.921513651511995e-09,1.560480304243451e-14,15.604803042434511
7023,3.921559169761538e-09,6.112305258527363e-14,61.123052585273626
7024,3.921544617112088e-09,4.657040313519557e-14,46.57040313519557
7025,3.92152949896989e-09,3.1452260937003384e-14,31.452260937003384
7026,3.921527293946616e-09,2.9247237663656677e-14,29.247237663656676
7027,3.921517407378056e-09,1.9360669103304483e-14,19.360669103304485
7028,3.921503558538446e-09,5.511829493495389e-15,5.511829493495389
7029,3.921548747705525e-09,5.0700996571930844e-14,50.700996571930844
7030,3.921565692457333e-09,6.764574838021798e-14,67.64574838021798
7031,3.921538211835388e-09,4.0165126435531394e-14,40.16512643553139
7032,3.921538577347046e-09,4.053063809293057e-14,40.53063809293057
7033,3.921527962574096e-09,2.991586514342849e-14,29.915865143428487
7034,3.921518450380546e-09,2.040367159323554e-14,20.40367159323554
7035,3.921524605342069e-09,2.6558633116327123e-14,26.558633116327123
7036,3.921571662968961e-09,7.361626000871547e-14,73.61626000871547
7037,3.9215580795962535e-09,6.003288730083945e-14,60.032887300839455
7038,3.921542029365448e-09,4.398265649496148e-14,43.98265649496148
7039,3.921540021748285e-09,4.197503933217007e-14,41.97503933217007
7040,3.921529101501373e-09,3.10547924205702e-14,31.054792420570198
7041,3.921493644132995e-09,-4.4025759576353695e-15,-4.40257595763537
7042,3.92157649325227e-09,7.844654331746427e-14,78.44654331746426
7043,3.92157758103231e-09,7.953432335711897e-14,79.53432335711898
7044,3.9215497033755296e-09,5.165666657686819e-14,51.65666657686819
7045,3.92155098850747e-09,5.294179851696957e-14,52.94179851696957
7046,3.921539486260832e-09,4.143955187917948e-14,41.43955187917948
7047,3.92152955383052e-09,3.150712156693115e-14,31.50712156693115
7048,3.9215392874723635e-09,4.1240763410854263e-14,41.240763410854264
7049,3.921584644799199e-09,8.659809024624222e-14,86.59809024624222
7050,3.921567893279323e-09,6.984657037014631e-14,69.84657037014631
7051,3.921553936317651e-09,5.58896086986861e-14,55.8896086986861
7052,3.921550480775592e-09,5.243406663959461e-14,52.43406663959461
7053,3.9215397416175485e-09,4.169490859585413e-14,41.69490859585413
7054,3.921524976464473e-09,2.692975551996891e-14,26.92975551996891
7055,3.921583093332995e-09,8.504662404246978e-14,85.04662404246977
7056,3.921585641072575e-09,8.759436362253915e-14,87.59436362253915
7057,3.9215596980119415e-09,6.165130298876288e-14,61.65130298876288
7058,3.921561137507166e-09,6.309079821317188e-14,63.09079821317188
7059,3.921548695961976e-09,5.0649253023248974e-14,50.649253023248974
7060,3.921538349908535e-09,4.0303199582197423e-14,40.30319958219742
7061,3.9215483873438275e-09,5.0340634874850975e-14,50.34063487485098
7062,3.9215975962446706e-09,9.954953571788506e-14,99.54953571788506
7063,3.921574145954567e-09,7.609924561403315e-14,76.09924561403315
7064,3.92156547626742e-09,6.742955846702437e-14,67.42955846702438
7065,3.921558885971619e-09,6.083926266662555e-14,60.83926266662555
7066,3.921548513978641e-09,5.046726968859728e-14,50.467269688597284
7067,3.9215335951399075e-09,3.5548430954762244e-14,35.548430954762246
7068,3.921611113426836e-09,1.1306671788313084e-13,113.06671788313083
7069,3.921581298273668e-09,8.325156471559415e-14,83.25156471559416
7070,3.921575818499048e-09,7.777179009541791e-14,77.77179009541791
7071,3.9215640728219175e-09,6.602611296485051e-14,66.02611296485051
